character A,character B,TEXT,LINE
Ron,Mary,"Mary, go home. Get the kids. I'll meet you there. We have to get out of the country, understand? Mary, do as I say.",330
Ron,SPELL,Expelliarmusspell,331
Ron,Hermoine,"Oh, my God.",332
Hermoine,Ron,"Shh, shh, shh. It's all right. It's okay.",333
Hermoine,Harry,"Harry. Harry, quickly, in my bag. There's a bottle labeled Essence of Dittany. ",334
Hermoine,Ron,Shh. Shh.,335
Hermoine,Harry,Quickly. It's all right. Unstopper it.,336
Harry,Hermoine,"Hermione, his arm.",337
Hermoine,Harry,"I know, just do it.",338
Hermoine,Ron,"It's okay. Okay, it's gonna sting a little bit.",339
Harry,Hermoine,What happened? I thought we were going back to Grimmauld Place,340
Hermoine,Harry,We were,341
Hermoine,Ron,"It's all right. One more, one more.",342
Hermoine,Harry,"We were there, we were there, but Yaxley had hold of me, and I…I knew once he'd seen where we were, we couldn't stay…...so I brought us here…...but Ron got splinched.",343
Harry,Hermoine,It's all right.,344
Hermoine,SPELL,Protegototalumspell,345
Hermoine,SPELL,Salviohexiaspell,346
Harry,Hermoine,What are you doing?,347
Hermoine,Harry,"Protective enchantments. I don't fancy another visit like the one we had in Shaftesbury Avenue, do you? You can get going on the tent.",348
Harry,Hermoine,Where am I supposed to find a tent?,349
Hermoine,SPELL,Repellomuggletumspell,350
Hermoine,Harry,You first.,351
Harry,SPELL,Dissendiumspell,352
Hermoine,SPELL,Incendiospell,353
Harry,SPELL,Expulsospell,354
Harry,SPELL,Diffindospell,355
Harry,SPELL,Reductospell,356
Hermoine,Harry,What are you doing?,357
Harry,Hermoine,We have to keep it safe until we find out how to destroy it.,358
Ron,Harry,"Seems strange, mate. Dumbledore sends you off…...to find all these Horcruxes, but doesn't tell you how to destroy them. Doesn't that bother you?",359
Voldermort,Harry,"You know the spell, Harry.",360
Voldermort,Gregorovitch,Tell me. Tell me Gregorovitch,361
Gregorovitch,Voldermort,It was stolen from me.,362
Voldermort,Gregorovitch,Who was he? The thief?,363
Gregorovitch,Voldermort,It was a boy. It was he who took it. I never saw it again. I swear on my life.,364
Voldermort,Gregorovitch,I believe you.,365
Voldermort,SPELL,AvadaKedavraspell,366
Hermoine,Harry,"I thought it had stopped. You can't keep letting him in, Harry.",367
Harry,Hermoine,You-Know-Who has found Gregorovitch.,368
Hermoine,Harry,The wandmaker?,369
Harry,Hermoine,"He wants something that Gregorovitch used to have…...but I don't know what. But he wants it desperately. I mean, it's as if his life depends on it.",370
Hermoine,Harry,Don't. It comforts him,371
Harry,Hermoine,"It sets my teeth on edge. What's he expecting to hear, good news?",372
Hermoine,Harry,I think he just hopes he doesn't hear bad news.,373
Harry,Hermoine,How long before he can travel?,374
Hermoine,Harry,I'm doing everything I can.,375
Harry,Hermoine,You're not doing enough!,376
Hermoine,Harry,"Take it off. I said, take it off now. Better?",377
Harry,Hermoine,Loads,378
Hermoine,Harry,"We'll take it in turns, okay?",379
Scabior,Man,What's that? What's that smell? What you doing?,380
Man,Scabior,It's heavy,381
Scabior,Man,"Oh, sorry. Do you want me to carry it?",382
Man,Scabior,"Yeah, thank you.",383
Scabior,Man,Don't be ridiculous. Pick it up.,384
Harry,Hermoine,Snatchers. Good to know your enchantments work.,385
Hermoine,Harry,He could smell it. My perfume. I've told you…...Ron isn't strong enough to Apparate.,386
Harry,Hermoine,"Well, then, we'll go on foot. And next time, Hermione, as much as I like your perfume, just don't wear any.",387
Harry,Hermoine,Oh. Thank you.,388
Ron,Hermoine,"He doesn't know what he's doing, does he?",389
Hermoine,Ron,None of us do.,390
Hermoine,Harry,"Oh, my God.",391
Harry,Hermoine,What?,392
Hermoine,Harry,I'll tell you in a minute.,393
Harry,Hermoine,Maybe you could tell me now.,394
Hermoine,Harry,"The sword of Gryffindor, it's goblin-made.",395
Harry,Hermoine,Brilliant,396
Hermoine,Harry,"No, you don't understand. Dirt and rust have no effect on the blade. It only takes in that which makes it stronger.",397
Harry,Hermoine,Okay,398
Hermoine,Harry,"Harry, you've already destroyed one Horcrux, right? Tom Riddle's diary in the Chamber of Secrets.",399
Harry,Hermoine,With a Basilisk fang. If you tell me you've got one of those…...in that bloody beaded bag of yours…,400
Hermoine,Harry,"Don't you see? In the Chamber of Secrets, you stabbed the Basilisk with the sword of Gryffindor. Its blade is impregnated with Basilisk venom.",401
Harry,Hermoine,It only takes in that which makes it stronger.,402
Hermoine,Harry,"Exactly, which is why",403
Harry,Hermoine,It can destroy Horcruxes,404
Hermoine,Harry,That's why Dumbledore left it to you in his will.,405
Harry,Hermoine,"You are brilliant, Hermione. Truly.",406
Hermoine,Harry,"Actually, I'm highly logical, which allows me to look past extraneous detail…...and perceive clearly that which others overlook.",407
Harry,Hermoine,"Yeah, there's only one problem, of course.",408
Ron,Harry,"The sword was stolen. Yeah, I'm still here. But you two carry on. Don't let me spoil the fun.",409
Harry,Ron,What's wrong?,410
Ron,Harry,"Wrong? Nothing's wrong. Not according to you, anyway.",411
Harry,Ron,"Look, if you've got something to say, don't be shy. Spit it out.",412
Ron,Harry,"All right, I'll spit it out. But don't expect me to be grateful…...because there's another damn thing we've gotta find.",413
Harry,Ron,I thought you knew what you signed up for.,414
Ron,Harry,Yeah. I thought I did too.,415
Harry,Ron,"Well then, I'm sorry, but I don't quite understand. What part of this isn't living up to your expectations? Did you think we were gonna be staying in a hotel? Finding a Horcrux every other day? Thought you'd be back by Christmas?",416
Ron,Harry,"I just thought, after all this time…...we would've achieved something. I thought you knew what you were doing. I thought Dumbledore told you something worthwhile. I thought you had a plan",417
Harry,Ron,"I told you everything that Dumbledore told me. And In case you haven't noticed, we found a Horcrux.",418
Ron,Harry,"Yeah, and we're as close to getting rid of it as we are to finding the rest of them.",419
Hermoine,Ron,Ron please take…Take the Horcrux off. You wouldn't be saying this…if you hadn't been wearing it all day.,420
Ron,Harry,"Want to know why I listen to that radio? To make sure I don't hear Ginny's name, or Fred, or George or Mom.",421
Harry,Ron,You think I'm not listening? You think I don't know how this feels?!,422
Ron,Harry,"No, you don't know how it feels! Your parents are dead. You have no family.",423
Hermoine,Ron,Stop. Stop,424
Harry,Ron,"Fine, then go! Go, then! Fine.",425
Hermoine,Ron,Ron,426
Ron,Hermoine,And you? Are you coming or you staying? Fine. I get it. I saw you two the other night.,427
Hermoine,Ron,"Ron, that's... That's nothing. Ron…Ron, where are you going? Please, come back. Ron. Ron!",428
Harry,SPELL,salviohexiaspell,429
Harry,SPELL,Repellomuggletumspell,430
Harry,SPELL,salviohexiaspell,431
Harry,Hermoine,"Hermione. Hermione? You were right. Snitches have flesh memories…...but I didn't catch the first Snitch with my hand, I almost swallowed it.",432
Hermoine,Harry,I open at the close,433
Harry,Hermoine,What do you think that means?,434
Hermoine,Harry,"I don't know. I found something as well. At first I thought it was an eye, but now I don't think it is. It isn't a rune, and it isn't anywhere in Spellman's Syllabary. Somebody inked it in. It isn't part of the book. Somebody drew it.",435
Harry,Hermoine,Luna's dad was wearing that at Bill and Fleur's wedding.,436
Hermoine,Harry,Why would someone draw it in a children's book?,437
Harry,Hermoine,"Look, Hermione, I've been thinking. I want to go to Godric's Hollow. It's where I was born. It's where my parents died.",438
Hermoine,Harry,That's exactly where he'll expect you to go because it means something to you.,439
Harry,Hermoine,"Yeah, but it means something to him too, Hermione. You-Know-Who almost died there. I mean, isn't that exactly the type of place he'd be likely to hide a Horcrux?",440
Hermoine,Harry,"It's dangerous, Harry. But even I have to admit, recently I've been thinking we'll have to go there. I think it's possible something else is hidden there.",441
Harry,Hermoine,What?,442
Hermoine,Harry,"The sword. If Dumbledore wanted you to find it, but didn't want it in the Ministry's hands…...where better to hide it than the birthplace of the founder of Gryffindor?",443
 Harry,Hermoine,Hermoine,444
Hermoine,Harry,Don't ever let me give you a haircut again. I still think we should've used Polyjuice Potion.,445
Harry,Hermoine,No. This is where I was born. I'm not returning as someone else.,446
Hermoine,Harry,"Harry, I think it's Christmas Eve. Listen.",447
Harry,Hermoine,"Do you think they'd be in there, Hermione? My mom and dad.",448
Hermoine,Harry,"Yeah, I think they would.",449
Hermoine,SPELL,Ignotus Peverell,450
Hermoine,Harry,"Hey, Harry?",451
Harry,Hermoine,"Merry Christmas, Hermione.",452
Hermoine,Harry,"Merry Christmas, Harry. Harry, there's someone watching us. By the church.",453
Harry,Hermoine,I think I know who that is.,454
Hermoine,Harry,"I don't like this, Harry.",455
Harry,Hermoine,"Hermione, she knew Dumbledore. She might have the sword. This is where they died, Hermione. This is where he murdered them.",456
Harry,Bathilda,"You're Bathilda, aren't you? Here, let me do that. Miss Bagshot, who is this man?",457
Hermoine,Harry,Harry.,458
Harry,SPELL,Lumosspell,459
Hermoine,Harry,Harry!    ,460
Hermoine,SPELL,Confringospell,461
Hermoine,Harry,Are you feeling better?,462
Harry,Hermoine,"You've outdone yourself this time, Hermione.",463
Hermoine,Harry,"The Forest of Dean. I came here once with Mom and Dad, years ago. It's just how I remember it. The trees, the river, everything. Like nothing's changed.  Not true, of course. Everything's changed. If I brought my parents back here now, they probably wouldn't recognize any of it. Not the trees, not the river…...not even me.  Maybe we should just stay here, Harry. Grow old. You wanted to  know who the boy in the photograph was. I know. Gellert Grindelwald. ",464
Harry,Hermoine,"He's the thief I saw in Gregorovitch's Wand Shop. Speaking of which, where is my wand? Where's my wand, Hermione?",465
Hermoine,Harry,"As we were leaving Godric's Hollow, I cast a curse and it rebounded. I'm sorry. I tried to mend it, but wands are different",466
Harry,Hermoine,Its done. Leave me yours. Go inside and get warm. I'll take the locket as well.,467
Harry,SPELL,Lumosspell,468
Harry,SPELL,Accioswordspell,469
Harry,SPELL,Diffindospell,470
Harry,Hermoine,Hermoine?,471
Ron,Harry,Are you mental?,472
Harry,Ron,It was you?,473
Ron,Harry,"Well, yeah. Bit obvious, I think.",474
Harry,Ron,"And you cast the doe as well, did you?",475
Ron,Harry,"No, I thought that was you",476
Harry,Ron,"No, my Patronus is a stag",477
Ron,Harry,Right. Yeah. Antlers.,478
Harry,Ron,"Okay, Ron. Do it.",479
Ron,Harry,I can't handle it. That thing affects me more than it affects you and Hermione.,480
Harry,Ron,All the more reason,481
Ron,Harry,No. I can't.,482
Harry,Ron,"Then why are you here? Why did you come back? Now, I'll have to speak to it in order for it to open. When it does, don't hesitate. I don't know what's in there, but it'll put up a fight. The bit of Riddle that was in that diary tried to kill me.",483
Ron,Harry,All right. ,484
Voldermort,Ron,"I have seen your heart, and it is mine. I have seen your dreams, Ronald Weasley…and I have seen your fears. Least loved  by your mother, who craved a daughter. Least loved  by the girl who prefers your friend.",485
Harry,Ron,"Ron, kill it!",486
Voldermort,Ron,We were better without you. Happier without you. Who could look at you compared to Harry Potter? What are you compared with the Chosen One?,487
Harry,Ron,"Ron, it's lying!",488
Voldermort,Ron,Your mother confessed she would have preferred me as a son. What woman would take you? You are nothing. Nothing. Nothing compared to him.,489
Ron,Harry,Just think......only three to go.,490
Harry,Hermoine,Hermoine?,491
Hermoine,Harry,Is everything all right?,492
Harry,Hermoine,"It's fine. Actually, you know, it's more than fine.",493
Ron,Hermoine,Hey.,494
Hermoine,Ron,"You complete ass, Ronald Weasley! You show up here after weeks, and you say ""hey""? Where's my wand? Where's my wand?",495
Harry,Hermoine,I don't know ,496
Hermoine,Harry,"Harry Potter, give me my wand",497
Harry,Hermoine,I don't have it,498
Ron,Hermoine,How come he's got your wand?,499
Hermoine,Ron,Never mind why he's got my wand. What is that? You destroyed it. And how is it that you just happen to have the sword of Gryffindor?,500
Harry,Hermoine,It's a long story.,501
Hermoine,Ron,Don't think this changes anything.,502
Ron,Hermoine,"Oh of course not. I only just destroyed a bloody Horcrux. Why would that change anything? Look, I wanted to come back as soon as I left. I just didn't know how to find you.",503
Harry,Ron,"Yeah, how did you find us?",504
Ron,Harry,"With this. It doesn't just turn off lights. I don't know how it works, but Christmas morning I was sleeping in this little pub…...keeping away from some Snatchers..and I heard it.",505
Harry,Ron,It?,506
Ron,Hermoine,"A voice...your voice, Hermione…coming out of it.",507
Hermoine,Ron,And what exactly did I say may I ask?,508
Ron,Hermoine,"My Name. Just my name .Like a whisper. So I took it, clicked it, and this tiny ball of light appeared. And I knew. And sure enough, it floated toward me, the ball of light ...went right to my chest, straight through me. Right here. And I knew it was gonna take me  where I needed to go, so I Disapparated......and came to this hillside. It was dark. I had no idea where I was. I just hoped that one of you would show yourself. And you did.",509
Ron,Harry,I've always liked these flames Hermione makes. How long do you reckon she'll stay mad at me?,510
Harry,Ron,"Well, just keep talking about that little ball of light touching your heart…...and she'll come round.",511
Ron,Harry,"It was true. Every word. This is gonna sound crazy…...but I think that's why Dumbledore left it to me, the Deluminator. I think he knew that somehow I'd need it to find my way back, and she'd lead me. Bloody hell, I just realized, you need a wand, don't you?",512
Harry,Ron,Yeah,513
Ron,Harry,"I've got one here. It's a blackthorn. Ten inches. Nothing special, but I reckon it'll do. Took if off a Snatcher a couple of weeks ago. Don't tell Hermione this, but they're a bit dim, Snatchers. This one was definitely part troll, the smell of him.",514
Harry,SPELL,Engorgiospell,515
Harry,SPELL,Reduciospell,516
Hermoine,Harry,What's going on in there?,517
Ron,Hermoine,Nothing,518
Hermoine,Harry,We need to talk.,519
Ron,Hermoine,"Yeah, all right.",520
Hermoine,Harry,I want to see Xenophilius Lovegood,521
Harry,Hermoine,Sorry?,522
Hermoine,Harry,"See this? It's a letter Dumbledore wrote to Grindelwald. Look at the signature. It's the mark again. It keeps cropping up. In Beedle the Bard,  in the graveyard in Godric's Hollow.",523
Harry,Hermoine,It was there too. Outside Gregorovitch's Wand Shop.,524
Ron,Harry,But what does it mean?,525
Hermoine,Harry,"Look, you've got no idea where the next Horcrux is, and neither do I…...but this, this means something. I'm sure of it.",526
Ron,Harry,Yeah. Hermione's right. We ought to see Lovegood. Let's vote on it. Those in favor?,527
Harry,Hermoine,"You're not still mad at him, are you? ",528
Hermoine,Harry,I'm always mad at him.,529
Lovegood,Hermoine,What is it? Who are you? What do you want?,530
Harry,Lovegood,"Hello, Mr. Lovegood. I'm Harry Potter. Could we come in?",531
Hermoine,Lovegood,Where is Luna?,532
Lovegood,Hermoine,She'll be along.,533
Lovegood,Harry,"So how can I help you, Mr. Potter?",534
Harry,Lovegood,"Well, actually...It was about something you were wearing round your neck at the wedding. A symbol.",535
Lovegood,Harry,You mean this?,536
Harry,Lovegood,"Yes. That exactly. What we've wondered is, what is it?",537
Lovegood,Harry,"What is it? Well, it's the sign of the Deathly Hallows, of course.",538
Ron,Lovegood,The what?,539
Hermoine,Lovegood,The what?,540
Lovegood,Ron,Deathly Hallows,541
Lovegood,Hermoine,Deathly Hallows,542
Lovegood,Ron,I assume you're all familiar with The Tale of the Three Brothers.,543
Lovegood,Hermoine,I assume you're all familiar with The Tale of the Three Brothers.,544
Lovegood,Harry,I assume you're all familiar with The Tale of the Three Brothers.,545
Ron,Lovegood,Yes ,546
Hermoine,Lovegood,Yes ,547
Harry,Lovegood,No,548
Hermoine,Harry,I have it in here.,549
Hermoine,Harry,"There were once three brothers......who were traveling along a Ionely, winding road at twilight.",550
Ron,Hermoine,"Midnight. Mom always said ""midnight."" ",551
Ron,Harry,"Midnight. Mom always said ""midnight."" But ""twilight's"" fine. Better, actually.",552
Hermoine,Ron,Do you want to read it?,553
Ron,Hermoine,No its fine,554
Lovegood,Harry,So there you are. Those are the Deathly Hallows.,555
Harry,Lovegood,"I'm sorry, sir. I still don't quite understand.",556
Lovegood,Harry,"Where's that pen I had? The Elder Wand. The most powerful wand ever made. The Resurrection Stone. The Cloak of Invisibility. Together, they make the Deathly Hallows. Together, they make one master of Death.",557
Lovegood,Ron,"Where's that pen I had? The Elder Wand. The most powerful wand ever made. The Resurrection Stone. The Cloak of Invisibility. Together, they make the Deathly Hallows. Together, they make one master of Death.",558
Lovegood,Hermoine,"Where's that pen I had? The Elder Wand. The most powerful wand ever made. The Resurrection Stone. The Cloak of Invisibility. Together, they make the Deathly Hallows. Together, they make one master of Death.",559
Hermoine,Lovegood,"That mark was on a grave in Godric's Hollow. Uh, Mr. Lovegood, does the Peverell Family…",560
Lovegood,Hermoine,Uh... Uh….. Ignotus... Excuse me... . And his brothers...Cadmus and Antioch…are thought to be the original owners of the Hallows…...and therefore the inspiration for the story. Uh... Uh…But your tea's gone cold. I'll be right back.,561
Lovegood,Ron,Uh... Uh….. Ignotus... Excuse me... . And his brothers...Cadmus and Antioch…are thought to be the original owners of the Hallows…...and therefore the inspiration for the story. Uh... Uh…But your tea's gone cold. I'll be right back.,562
Lovegood,Harry,Uh... Uh….. Ignotus... Excuse me... . And his brothers...Cadmus and Antioch…are thought to be the original owners of the Hallows…...and therefore the inspiration for the story. Uh... Uh…But your tea's gone cold. I'll be right back.,563
Ron,Harry,"Let's get out of here. I'm not drinking any more of that stuff, hot or cold.",564
Hermoine,Lovegood,"Thank you, sir.",565
Ron,Lovegood,You forgot the water,566
Lovegood,Ron,Water?,567
Ron,Lovegood,For the tea,568
Lovegood,Ron,Did...? Did I? How silly of me.,569
Hermoine,Lovegood,It's no matter. We really should be going anyway.,570
Lovegood,Hermoine,"No, you can't!",571
Harry,Lovegood,Sir?,572
Lovegood,Harry,"You're my only hope. They were angry, you see, about what I'd been writing. So they took her. They took my Luna. My Luna. But it's really you they want.",573
Harry,Lovegood,"Who took her, sir?",574
Lovegood,Harry,Voldemort.,575
Ron,Harry,That treacherous little bleeder. Is there no one we can trust?,576
Harry,Ron,They kidnapped her because he supported me. He was just desperate.,577
Ron,Harry,I'll do the enchantments.,578
Voldermort,Grindelwald,"Tell me, Grindelwald. Tell me where it is.",579
Grindelwald,Voldermort,"Hello, Tom. I knew you would come one day…...but surely you must know I no longer have what you seek.",580
Voldermort,Grindelwald,Tell me who possesses it.,581
Grindelwald,Voldermort,"The Elder Wand lies with him, of course…...buried in the earth. Dumbledore.",582
Harry,Hermoine,"The Hallows exist......but he's only after one of them,the last one. He knows where it is.He's gonna have it by the end of the night.You-Know-Who's found the Elder Wand.",583
Bellatrix,SPELL,Get Draco,584
Bellatrix,Draco,Well?,585
Draco,Bellatrix,I  can't be sure.,586
Lucius,Draco,"Draco. Look closely, son. If we are the ones to hand Potter over to the Dark Lord…...everything would be forgiven. All would be as it was, you understand?",587
Draco,Lucius,"Now, we won't be forgetting who actually caught him, I hope, Mr. Malfoy.",588
Lucius,Draco,You dare to talk to me like that in my own house?,589
Bellatrix,Draco,"Don't be shy, sweetie. Come over. Now, if this isn't who we think it is, Draco, and we call him, he'll kill us all. We need to be absolutely sure.",590
Draco,Bellatrix,What's wrong with his face?,591
Bellatrix,Scabior,"Yes, what is wrong with his face?",592
Scabior,Bellatrix,"He came to us like that. Something he picked up in the forest, I reckon.",593
Bellatrix,Hermoine,"Or ran into a Stinging Jinx. Was it you, dearie?",594
Bellatrix,Hermoine,"I want to have a little conversation with this one, girl-to-girl.",595
Ron,Harry,What are we gonna do? We can't leave Hermione alone with her.,596
Luna,Ron,Ron,597
Luna,Harry,Harry,598
Harry,Luna,Luna,599
Bellatrix,Hermoine,That sword is meant to be in my vault at Gringotts. How did you get it? What else did you and your friends take from my vault?!,600
Hermoine,Bellatrix,I didn't take anything. Please. I didn’t take anything,601
Bellatrix,Hermoine,I don't believe it.,602
Ron,Harry,We have to do something.,603
Luna,Harry,You are bleeding Harry. That's a curious thing to keep in your sock.,604
Ron,Wormtail,Let her go,605
Wormtail,Ron,Shut up. Get back.,606
Wormtail,Griphook,"You, goblin, come with me.",607
Harry,Dobby,Dobby? What are you doing here?,608
Dobby,Harry,"Dobby has come to rescue Harry Potter, of course. Dobby will always be there for Harry Potter.",609
Harry,Dobby,You can Apparate in and out of this room? Could you take us with you?,610
Dobby,Harry,"Of course, sir. I'm an elf.",611
Ron,Harry,Works for me.,612
Harry,Dobby,"Dobby, I want you to take Luna and Mr. OIlivander…",613
Ron,Dobby,Shell Cottage on the outskirts of Tinworth.,614
Luna,Dobby,"Whenever you're ready, sir.",615
Dobby,Luna,Sir? I like her very much.,616
Dobby,Harry,Meet me at the top of the stairs.Who gets his wand?,617
Dobby,Ron,Meet me at the top of the stairs. Who gets his wand?,618
Bellatrix,Griphook,"I'm only going to ask you once more, goblin. Think very, very carefully before you answer.",619
Griphook,Bellatrix,I don't know.,620
Bellatrix,Griphook,You don't know? Why weren't you doing your job? Who got into my vault? Who stole it? Who stole it? Well?,621
Griphook,Bellatrix,"When I was last in your vault, the sword was there.",622
Bellatrix,Griphook,"Oh, well then, perhaps it just walked out on its own then.",623
Griphook,Bellatrix,There is no place safer than Gringotts.,624
Bellatrix,Griphook,"Liar! Consider yourself lucky, goblin.",625
Ron,SPELL,Expelliarmusspell,626
Harry,SPELL,Stupefyspell,627
Bellatrix,Ron,"Stop! Drop your wands. I said, drop them!",628
Bellatrix,Harry,"Stop! Drop your wands. I said, drop them!",629
Bellatrix,Draco,"Pick them up, Draco, now.",630
Bellatrix,Harry,"Well, well, well, look what we have here. It's Harry Potter. He's all bright and shiny and new again, just in time for the Dark Lord.",631
Bellatrix,Ron,"Well, well, well, look what we have here. It's Harry Potter. He's all bright and shiny and new again, just in time for the Dark Lord.",632
Bellatrix,Draco,Call him.,633
Bellatrix,Dobby,Stupid elf. You could've killed me.,634
Dobby,Bellatrix,Dobby never meant to kill.  Dobby only meant to maim or seriously injure.,635
Bellatrix,Dobby,How dare you take a witch's wand? How dare you defy your masters?,636
Dobby,Bellatrix,Dobby has no master. Dobby is a free elf. And Dobby has come to save Harry Potter and his friends.,637
Harry,Hermoine,Hermoine. You're all right. We're safe. We're all safe.,638
Dobby,Harry,Harry Potter.,639
Harry,Dobby,"Dobby. Dobby. No, just... Hold on. Hold on. Look, just hold on, okay? We'll fix you. Hermione will have something. ",640
Harry,Hermoine,In your bag. Hermione? Hermione? What is it? Help me.,641
Dobby,Harry,Such a beautiful place......to be with friends. Dobby is happy to be with his friend…...Harry Potter.,642
Luna,Harry,We should close his eyes. Don't you think? There. Now he could be sleeping.,643
Harry,Luna,I want to bury him. Properly. Without magic.,644
Harry,Ron,I want to bury him. Properly. Without magic.,645
Harry,Hermoine,I want to bury him. Properly. Without magic.,646
